ds,yhat,yhat_lower,yhat_upper
2025-10-19,1.501600237278065,-1.0242373168820498,3.9991701805336732
2025-10-20,2.5016103967381964,-0.17199714917588985,5.215134620444478
2025-10-21,8.001586704002296,5.2193640353619095,10.609617751646702
2025-10-22,2.0016499721281735,-0.6322848247356845,4.686611789517985
2025-10-23,10.999810149588166,8.256452140972794,13.924935669295236
2025-10-24,4.000213047281754,1.2675053151636482,6.812474611508113
2025-10-25,3.00030077629956,0.25065142048928174,5.6911854569004925
2025-10-26,4.498692977606639,1.7734999389454598,7.250957670916761
2025-10-27,5.498703136474294,2.7355060095900265,8.150412600866678
2025-10-28,10.998679443409134,8.24606514089064,13.807862843370584
2025-10-29,4.998742711046802,2.1395925226814168,7.520605498056314
2025-10-30,13.99690288798405,11.103688893442499,16.66469806572395
2025-10-31,6.997305785326281,4.21468833801303,9.54958820110134
2025-11-01,5.997393514196609,3.1638094797324414,8.735959573599212
2025-11-02,7.495785715532854,4.840931692856559,10.092237513944667
2025-11-03,8.495795874424003,5.823385819345525,11.300300854759863
2025-11-04,13.995772181343964,11.262116659881713,16.851962027488426
2025-11-05,7.995835448981392,5.3758194290532515,10.897042230560912
2025-11-06,16.99399562592613,14.144360881965065,19.714698643098163
2025-11-07,9.994398523260436,7.354419918506036,12.576623828554233
2025-11-08,8.99448625213189,6.35376321010389,11.608168697590564
2025-11-09,10.492878453474384,7.664165412784157,13.116798383515556
2025-11-10,11.492888612334351,8.767730498746023,14.339989449754642
2025-11-11,16.992864919267813,14.31106635642719,19.789447162933833
2025-11-12,10.992928186908445,8.251990603062488,13.83032548162958
2025-11-13,19.99108836385426,17.34570294435575,22.73919522765103
2025-11-14,12.991491261175053,10.328056519634572,15.838234708592108
2025-11-15,11.991578990057805,9.19451497792692,14.83177915562965
2025-11-16,13.489971191415915,10.769382385705253,16.19084303621338
2025-11-17,14.489981350284058,11.661225805631318,17.09450101354279
2025-11-18,19.989957657202645,17.26538728750848,22.52786707053789
2025-11-19,13.990020924843037,11.300598276127312,16.698867099213423
2025-11-20,22.988181101785557,20.41378403079229,25.866038089384244
2025-11-21,15.988583999128752,13.451253521451678,18.720300889539637
2025-11-22,14.988671727983721,12.045420073935212,17.56749959102239
2025-11-23,16.487063929332965,13.607235419444718,19.224220240997603
2025-11-24,17.487074088206754,14.889872868530741,20.15474048020503
2025-11-25,22.987050395126495,20.162686794608266,25.68595509959467
2025-11-26,16.987113662777517,14.187750953134772,19.595233878156712
2025-11-27,25.985273839716854,23.177442748182152,28.567309585218126
2025-11-28,18.985676737043367,16.301606350628944,21.485011286441466
